english,portuguese
Afghanistan,Afeganistão
Albania,Albânia
Algeria,Argélia
Angola,Angola
Argentina,Argentina
Armenia,Arménia
Australia,Austrália
Austria,Áustria
Azerbaijan,Azerbaijão
Bahamas,Bahamas
Bahrain,Bahrein
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Bielorrússia
Belgium,Bélgica
Belize,Belize
Benin,Benim
Bhutan,Butão
Bolivia,Bolívia
Bosnia and Herzegovina,Bósnia e Herzegovina
Botswana,Botswana
Brazil,Brasil
Bulgaria,Bulgária
Burundi,Burundi
Cambodia,Camboja
Cameroon,Camarões
Canada,Canadá
Central African Republic,República Centro-Africana
Chad,Chade
Chile,Chile
China,China
Colombia,Colômbia
Comoros,Comores
Congo,República del Congo
Costa Rica,Costa Rica
Croatia,Croácia
Cuba,Cuba
Cyprus,Chipre
Czech Republic,República Checa
Democratic Republic of Congo,República Democrática do Congo
Denmark,Dinamarca
Ecuador,Equador
Egypt,Egito
Eritrea,Eritreia
Estonia,Estónia
Ethiopia,Etiópia
Fiji,Fiji
Finland,Finlândia
France,França
Gabon,Gabão
Gambia,Gâmbia
Georgia,Geórgia
Germany,Alemanha
Ghana,Gana
Greece,Grécia
Grenada,Granada
Guatemala,Guatemala
Guinea,Guiné
Guyana,Guiana
Haiti,Haiti
Honduras,Honduras
Hungary,Hungria
Iceland,Islândia
India,Índia
Indonesia,Indonésia
Iran,Irã
Iraq,Iraque
Ireland,Irlanda
Israel,Israel
Italy,Itália
Jamaica,Jamaica
Japan,Japão
Jordan,Jordânia
Kazakhstan,Cazaquistão
Kenya,Quénia
Kiribati,Kiribati
Kuwait,Kuwait
Kyrgyzstan,Quirguistão
Laos,Laos
Latvia,Letónia
Lebanon,Líbano
Lesotho,Lesoto
Liberia,Libéria
Libya,Líbia
Lithuania,Lituânia
Luxembourg,Luxemburgo
Macedonia,República de Macedonia
Madagascar,Madagáscar
Malawi,Malawi
Malaysia,Malásia
Maldives,Maldivas
Mali,Mali
Malta,Malta
Mauritania,Mauritânia
Mauritius,Maurícia
Mexico,México
Moldova,Moldávia
Mongolia,Mongólia
Montenegro,Montenegro
Morocco,Marrocos
Mozambique,Moçambique
Myanmar,Myanmar
Namibia,Namíbia
Nepal,Nepal
Netherlands,Países Baixos
New Zealand,Nova Zelândia
Nicaragua,Nicarágua
Niger,Níger
Nigeria,Nigéria
North Korea,Coreia do Norte
Norway,Noruega
Oman,Omã
Pakistan,Paquistão
Palestine,Palestina
Panama,Panamá
Paraguay,Paraguai
Peru,Peru
Philippines,Filipinas
Poland,Polónia
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Catar
Romania,Roménia
Russia,Rússia
Rwanda,Ruanda
Samoa,Samoa
Saudi Arabia,Arábia Saudita
Senegal,Senegal
Serbia,Sérvia
Seychelles,Seychelles
Singapore,Singapur
Slovakia,Eslováquia
Slovenia,Eslovénia
Somalia,Somália
South Africa,África do Sul
South Korea,Coreia do Sul
Spain,Espanha
Sri Lanka,Sri Lanka
Sudan,Sudão
Suriname,Suriname
Swaziland,Suazilândia
Sweden,Suécia
Switzerland,Suíça
Syria,Síria
Taiwan,Taiwán
Tajikistan,Tajiquistão
Tanzania,Tanzânia
Thailand,Tailândia
Togo,Togo
Tonga,Tonga
Tunisia,Tunísia
Turkey,Turquia
Turkmenistan,Turquemenistão
Uganda,Uganda
Ukraine,Ucrânia
United Arab Emirates,Emirados Árabes Unidos
United Kingdom,Reino Unido
United States,Estados Unidos
Uruguay,Uruguai
Uzbekistan,Uzbequistão
Vanuatu,Vanuatu
Venezuela,Venezuela
Vietnam,Vietname
World,Mundo
Yemen,Iémen
Zambia,Zâmbia
Zimbabwe,Zimbabwe
